fundingTime,funding_interval_hours,fundingRate,timestamp
1720396800000,8,0.0001,2024-07-08 00:00:00.000
1720425600000,8,3.423e-05,2024-07-08 08:00:00.000
1720454400000,8,9.357e-05,2024-07-08 16:00:00.000
1720483200000,8,5.681e-05,2024-07-09 00:00:00.000
1720512000001,8,1.078e-05,2024-07-09 08:00:00.001
1720540800000,8,7.754e-05,2024-07-09 16:00:00.000
1720569600000,8,3.746e-05,2024-07-10 00:00:00.000
1720598400000,8,1.713e-05,2024-07-10 08:00:00.000
1720627200000,8,0.0001,2024-07-10 16:00:00.000
1720656000002,8,4.282e-05,2024-07-11 00:00:00.002
1720684800002,8,8.656e-05,2024-07-11 08:00:00.002
1720713600004,8,5.603e-05,2024-07-11 16:00:00.004
1720742400000,8,0.0001,2024-07-12 00:00:00.000
1720771200000,8,4.73e-05,2024-07-12 08:00:00.000
1720800000000,8,7.154e-05,2024-07-12 16:00:00.000
1720828800000,8,0.0001,2024-07-13 00:00:00.000
1720857600000,8,0.0001,2024-07-13 08:00:00.000
1720886400000,8,7.584e-05,2024-07-13 16:00:00.000
1720915200000,8,0.0001,2024-07-14 00:00:00.000
1720944000000,8,6.352e-05,2024-07-14 08:00:00.000
1720972800000,8,3.194e-05,2024-07-14 16:00:00.000
1721001600000,8,9.653e-05,2024-07-15 00:00:00.000
1721030400000,8,4.043e-05,2024-07-15 08:00:00.000
1721059200000,8,4.69e-05,2024-07-15 16:00:00.000
1721088000000,8,2.643e-05,2024-07-16 00:00:00.000
1721116800000,8,9.799e-05,2024-07-16 08:00:00.000
1721145600000,8,6.395e-05,2024-07-16 16:00:00.000
1721174400000,8,5.824e-05,2024-07-17 00:00:00.000
1721203200001,8,8.064e-05,2024-07-17 08:00:00.001
1721232000000,8,6.113e-05,2024-07-17 16:00:00.000
1721260800000,8,0.0001,2024-07-18 00:00:00.000
1721289600000,8,6.727e-05,2024-07-18 08:00:00.000
1721318400000,8,3.237e-05,2024-07-18 16:00:00.000
1721347200000,8,4.387e-05,2024-07-19 00:00:00.000
1721376000000,8,8.153e-05,2024-07-19 08:00:00.000
1721404800000,8,0.0001,2024-07-19 16:00:00.000
1721433600001,8,5.271e-05,2024-07-20 00:00:00.001
1721462400000,8,8.573e-05,2024-07-20 08:00:00.000
1721491200000,8,2.468e-05,2024-07-20 16:00:00.000
1721520000000,8,0.0001,2024-07-21 00:00:00.000
1721548800000,8,1.524e-05,2024-07-21 08:00:00.000
1721577600000,8,6.721e-05,2024-07-21 16:00:00.000
1721606400000,8,9.867e-05,2024-07-22 00:00:00.000
1721635200000,8,7.749e-05,2024-07-22 08:00:00.000
1721664000000,8,2.82e-05,2024-07-22 16:00:00.000
1721692800000,8,7.792e-05,2024-07-23 00:00:00.000
1721721600000,8,0.0001,2024-07-23 08:00:00.000
1721750400000,8,9.013e-05,2024-07-23 16:00:00.000
1721779200000,8,7.865e-05,2024-07-24 00:00:00.000
1721808000000,8,8.396e-05,2024-07-24 08:00:00.000
1721836800000,8,6.706e-05,2024-07-24 16:00:00.000
1721865600000,8,9.46e-05,2024-07-25 00:00:00.000
1721894400000,8,2.04e-06,2024-07-25 08:00:00.000
1721923200000,8,3.72e-05,2024-07-25 16:00:00.000
1721952000000,8,3.903e-05,2024-07-26 00:00:00.000
1721980800000,8,4.196e-05,2024-07-26 08:00:00.000
1722009600000,8,4.001e-05,2024-07-26 16:00:00.000
1722038400000,8,3.05e-05,2024-07-27 00:00:00.000
1722067200000,8,7.422e-05,2024-07-27 08:00:00.000
1722096000000,8,1.78e-05,2024-07-27 16:00:00.000
1722124800000,8,0.0001,2024-07-28 00:00:00.000
1722153600000,8,0.0001,2024-07-28 08:00:00.000
1722182400001,8,0.0001,2024-07-28 16:00:00.001
1722211200001,8,8.174e-05,2024-07-29 00:00:00.001
1722240000000,8,0.0001,2024-07-29 08:00:00.000
1722268800001,8,0.0001,2024-07-29 16:00:00.001
1722297600000,8,0.0001,2024-07-30 00:00:00.000
1722326400001,8,0.0001,2024-07-30 08:00:00.001
1722355200000,8,0.0001,2024-07-30 16:00:00.000
1722384000000,8,0.0001,2024-07-31 00:00:00.000
1722412800000,8,0.0001,2024-07-31 08:00:00.000
1722441600000,8,0.0001,2024-07-31 16:00:00.000
1722470400000,8,0.0001,2024-08-01 00:00:00.000
1722499200000,8,5.973e-05,2024-08-01 08:00:00.000
1722528000000,8,0.0001,2024-08-01 16:00:00.000
1722556800000,8,7.641e-05,2024-08-02 00:00:00.000
1722585600001,8,7.771e-05,2024-08-02 08:00:00.001
1722614400000,8,3.785e-05,2024-08-02 16:00:00.000
1722643200000,8,8.493e-05,2024-08-03 00:00:00.000
1722672000000,8,2.92e-05,2024-08-03 08:00:00.000
