timestamp,timestamp_ms,oi,oi_usd,ls_ratio,long_pct,short_pct,top_ls_ratio,top_long_pct,top_short_pct,futures_taker_ratio,futures_buy_vol,futures_sell_vol
2026-05-08 11:30:00,1778239800000,2301160.358,5273483835.441418,2.6846,0.7286,0.2714,2.2051,0.688,0.312,0.968,9183.622,9487.034
2026-05-08 11:45:00,1778240700000,2301141.957,5267636099.44698,2.6751,0.7279,0.2721,2.1969,0.6872,0.3128,0.9665,18286.814,18919.826
2026-05-08 12:00:00,1778241600000,2300463.818,5276941933.55748,2.6846,0.7286,0.2714,2.199,0.6874,0.3126,1.0746,15858.516,14757.87
2026-05-08 12:15:00,1778242500000,2296972.593,5265694820.82285,2.6778,0.7281,0.2719,2.1918,0.6867,0.3133,1.1687,18884.339,16158.015
2026-05-08 12:30:00,1778243400000,2295130.296,5260622248.85568,2.6603,0.7268,0.2732,2.1847,0.686,0.314,0.9915,37001.225,37317.039
2026-05-08 12:45:00,1778244300000,2293310.324,5252140357.709162,2.6417,0.7254,0.2746,2.1616,0.6837,0.3163,0.6413,21789.615,33975.575
2026-05-08 13:00:00,1778245200000,2290555.211,5230780596.49593,2.6284,0.7244,0.2756,2.1576,0.6833,0.3167,0.6661,28174.565,42298.026
2026-05-08 13:15:00,1778246100000,2286519.891,5201649830.43372,2.6219,0.7239,0.2761,2.1596,0.6835,0.3165,0.9885,24458.69,24742.91
2026-05-08 13:30:00,1778247000000,2287576.273,5199180477.51167,2.6364,0.725,0.275,2.1786,0.6854,0.3146,1.191,40781.296,34240.105
2026-05-08 13:45:00,1778247900000,2291962.696,5204680728.494877,2.6697,0.7275,0.2725,2.2082,0.6883,0.3117,1.2659,19739.29,15592.518
2026-05-08 14:00:00,1778248800000,2296852.973,5224995985.62905,2.6832,0.7285,0.2715,2.2175,0.6892,0.3108,1.0829,26907.56,24847.464
2026-05-08 14:15:00,1778249700000,2298200.692,5240449733.828799,2.7092,0.7304,0.2696,2.2383,0.6912,0.3088,1.0723,35830.585,33413.802
2026-05-08 14:30:00,1778250600000,2297260.163,5238947729.120994,2.6873,0.7288,0.2712,2.2144,0.6889,0.3111,1.1236,27709.993,24662.879
2026-05-08 14:45:00,1778251500000,2295979.372,5250858904.17656,2.7106,0.7305,0.2695,2.2331,0.6907,0.3093,0.733,10993.426,14996.972
2026-05-08 15:00:00,1778252400000,2299031.439,5252815483.194533,2.6941,0.7293,0.2707,2.2258,0.69,0.31,0.9242,17637.854,19083.695
2026-05-08 15:15:00,1778253300000,2301434.822,5247708666.77618,2.6805,0.7283,0.2717,2.2165,0.6891,0.3109,0.869,21022.836,24193.077
2026-05-08 15:30:00,1778254200000,2303465.88,5244323803.6548,2.6941,0.7293,0.2707,2.2289,0.6903,0.3097,1.2866,18051.678,14030.351
2026-05-08 15:45:00,1778255100000,2302907.923,5260325306.79583,2.7064,0.7302,0.2698,2.2342,0.6908,0.3092,1.4434,35602.769,24665.697
2026-05-08 16:00:00,1778256000000,2298729.781,5270090883.21841,2.647,0.7258,0.2742,2.1756,0.6851,0.3149,0.8521,16478.216,19339.086
2026-05-08 16:15:00,1778256900000,2297583.407,5260561957.3201685,2.6101,0.723,0.277,2.1437,0.6819,0.3181,1.5177,12838.34,8459.011
2026-05-08 16:30:00,1778257800000,2293834.839,5250381501.33549,2.5945,0.7218,0.2782,2.1338,0.6809,0.3191,1.4859,17108.27,11513.357
