entry_time,exit_time,direction,entry_price,exit_price,sl,tp1,tp2,tp3,pnl_pct,size_pct,bars_held,ics,m1_dir,m2_status,m4_status,m5_status,m5_score,phase0,exit_reason,reason
2025-01-01 18:15:00,2025-01-02 00:45:00,LONG,3338.82,3399.2695000000003,3338.82,3399.2695000000003,3424.5067,3413.383947946187,1.810504908919923,5.0,26,0.5577982288111822,BULLISH,PASS,PASS,PASS,0.559432136183623,0.1337235116511782,TP1,M9=CHOP_MILD_BULL M13=NEUTRAL M1=BULLISH M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.558
2025-01-01 18:45:00,2025-01-02 00:45:00,LONG,3348.57,3399.2695000000003,3348.57,3399.2695000000003,3424.5067,3423.133947946187,1.5140642124847372,5.0,24,0.5661488935331496,BULLISH,PASS,PASS,PASS,0.559432136183623,0.1337235116511782,TP1,M9=CHOP_MILD_BULL M13=NEUTRAL M1=BULLISH M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.566
2025-01-02 00:30:00,2025-01-02 04:45:00,LONG,3391.36,3424.1787999999997,3391.36,3424.1787999999997,3436.0626909531647,3469.5897091680386,0.9677179656538838,5.0,17,0.642303607425353,BULLISH,PASS,PASS,PASS,0.5332462014105674,0.11823563399310175,TP1,M9=CHOP_MILD_BULL M13=NEUTRAL M1=BULLISH M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.642
2025-01-02 08:00:00,2025-01-02 09:15:00,LONG,3432.21,3445.1463264274735,3432.21,3445.1463264274735,3475.3310880915783,3507.671904160262,0.3769095255673002,5.0,5,0.57453575247742,BULLISH,FAIL,PASS,PASS,0.4928496942660283,0.11823563399310175,TP1,M9=CHOP_MILD_BULL M13=NEUTRAL M1=BULLISH M2=FAIL M3=PASS M4=PASS M5=PASS ICS=0.575
2025-01-02 09:45:00,2025-01-02 13:00:00,LONG,3467.95,3482.0094829038103,3467.95,3482.0094829038103,3514.814943012701,3549.963650272227,0.40541192646406315,5.0,13,0.5563965156787183,BULLISH,FAIL,PASS,PASS,0.7900136143358071,0.11823563399310175,TP1,M9=CHOP_MILD_BULL M13=NEUTRAL M1=BULLISH M2=FAIL M3=PASS M4=PASS M5=PASS ICS=0.556
2025-01-02 14:00:00,2025-01-02 14:30:00,LONG,3458.48,3475.324642894228,3458.48,3475.324642894228,3514.628809647427,3556.740416882997,0.48705335564259283,5.0,2,0.565139703759612,BULLISH,FAIL,PASS,PASS,0.8784446897091505,0.11823563399310175,TP1,M9=CHOP_MILD_BULL M13=NEUTRAL M1=BULLISH M2=FAIL M3=PASS M4=PASS M5=PASS ICS=0.565
2025-01-02 14:30:00,2025-01-02 14:45:00,LONG,3479.75,3496.594642894228,3479.75,3496.594642894228,3535.898809647427,3578.010416882997,0.48407623806962985,5.0,1,0.5675591803026208,BULLISH,FAIL,PASS,PASS,0.8295723499101206,0.11823563399310175,TP1,M9=CHOP_MILD_BULL M13=NEUTRAL M1=BULLISH M2=FAIL M3=PASS M4=PASS M5=PASS ICS=0.568
2025-01-03 14:00:00,2025-01-03 14:15:00,LONG,3495.65,3511.0633328538906,3495.65,3511.0633328538906,3547.0277761796347,3585.5611083143604,0.44092895037805707,5.0,1,0.6104952169615194,NEUTRAL,PASS,PASS,PASS,0.48965235465224277,0.1656495729128009,TP1,M9=CHOP_MILD_BULL M13=NEUTRAL M1=NEUTRAL M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.610
2025-01-03 14:30:00,2025-01-03 15:00:00,LONG,3525.39,3540.8033328538904,3525.39,3540.8033328538904,3576.7677761796344,3615.30110831436,0.4372092975214246,5.0,2,0.6139342174441542,NEUTRAL,PASS,PASS,PASS,0.8382084466614207,0.1656495729128009,TP1,M9=CHOP_MILD_BULL M13=NEUTRAL M1=NEUTRAL M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.614
2025-01-03 15:00:00,2025-01-03 15:30:00,LONG,3535.38,3553.211021806705,3535.38,3553.211021806705,3594.8167393556832,3639.394293872446,0.5043594127563356,5.0,2,0.5773520950604073,NEUTRAL,PASS,PASS,PASS,0.8382084466614207,0.1656495729128009,TP1,M9=CHOP_MILD_BULL M13=NEUTRAL M1=NEUTRAL M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.577
