entry_time,exit_time,direction,entry_price,exit_price,sl,tp1,tp2,tp3,pnl_pct,size_pct,bars_held,ics,m1_dir,m2_status,m4_status,m5_status,m5_score,phase0,exit_reason,reason
2025-10-23 14:15:00,2025-10-23 15:00:00,SHORT,3827.61,3872.244163200353,3872.244163200353,3802.1047638855125,3763.8469097137818,3716.0245919991175,-1.1661105285113362,0.7940625000000002,3,0.5948966348572198,BULLISH,PASS,PASS,PASS,0.2677635290326129,0.2286689279852959,SL,M9=CHOP_MILD M13=BEARISH M1=BULLISH M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.595
2025-10-26 12:45:00,2025-10-26 14:45:00,LONG,4072.89,4072.89,4072.89,4096.108224950549,4130.935562376373,4174.4697341586525,0.2565304053816102,0.5671875000000001,8,0.6362467999015587,BULLISH,PASS,PASS,PASS,0.3520362016134726,0.11239802998410375,SL,M9=CHOP_MILD M13=BULLISH M1=BULLISH M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.636
2025-11-08 19:15:00,2025-11-08 23:15:00,SHORT,3373.44,3408.36,3415.9623823623438,3324.375712658834,3308.0209502117787,3258.9566628706125,-1.0351451337507136,1.5881250000000005,16,0.6338104778433151,BEARISH,PASS,PASS,PASS,0.3542945377033717,0.24113586316358937,EARLY_EXIT,M9=CHOP_MILD M13=BEARISH M1=BEARISH M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.634
2025-11-11 14:30:00,2025-11-12 01:15:00,SHORT,3509.81,3450.2373484947925,3450.2373484947925,3450.2373484947925,3430.3797979930564,3370.807146487849,1.9397924757085356,1.5881250000000005,43,0.6659779846232664,BEARISH,PASS,PASS,PASS,0.5064222237373882,0.30035163565617096,SL,M9=CHOP_MILD M13=BEARISH M1=BEARISH M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.666
2025-11-12 15:30:00,2025-11-13 03:30:00,SHORT,3458.3,3458.3,3458.3,3380.35107747413,3354.3681032988397,3276.4191807729694,0.6761899418142178,1.5881250000000005,48,0.684087934097673,BULLISH,PASS,PASS,PASS,0.4752572852746327,0.273665862315942,SL,M9=CHOP_MILD M13=BEARISH M1=BULLISH M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.684
2025-11-13 08:00:00,2025-11-13 14:45:00,SHORT,3537.72,3471.159582155732,3471.159582155732,3471.159582155732,3448.9727762076427,3382.4123583633755,2.1502280837623506,5.558437500000002,27,0.6452257806938978,BULLISH,PASS,PASS,PASS,0.35014810203813607,0.41744018763254653,SL,M9=CHOP_MILD M13=BEARISH M1=BULLISH M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.645
2025-11-13 09:15:00,2025-11-13 14:45:00,SHORT,3504.44,3436.0303045349683,3436.0303045349683,3436.0303045349683,3413.227072713291,3344.8173772482587,2.2309558475218147,5.558437500000002,22,0.6677343626134224,BULLISH,PASS,PASS,PASS,0.36755932986013756,0.41744018763254653,SL,M9=CHOP_MILD M13=BEARISH M1=BULLISH M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.668
2025-11-13 09:45:00,2025-11-13 14:45:00,SHORT,3486.43,3418.020304534968,3418.020304534968,3418.020304534968,3395.2170727132907,3326.8073772482585,2.242480391199407,5.558437500000002,20,0.6694601551652685,BULLISH,PASS,PASS,PASS,0.36755932986013756,0.41744018763254653,SL,M9=CHOP_MILD M13=BEARISH M1=BULLISH M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.669
2025-11-13 13:15:00,2025-11-13 14:45:00,SHORT,3468.49,3468.49,3468.49,3402.243325981693,3380.161101308924,3313.9144272906174,0.5729871559523605,5.558437500000002,6,0.661581248110459,BULLISH,PASS,PASS,PASS,0.2906722138985353,0.41744018763254653,SL,M9=CHOP_MILD M13=BEARISH M1=BULLISH M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.662
2025-11-22 08:15:00,2025-11-22 14:00:00,SHORT,2729.01,2740.38,2776.0962921642777,2674.6796628873726,2656.5695505164967,2602.239213403869,-0.4166346037574025,1.5881250000000005,23,0.6389688923603596,BULLISH,PASS,PASS,PASS,0.30045178290415986,0.319965465071574,EARLY_EXIT,M9=CHOP_MILD M13=BEARISH M1=BULLISH M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.639
